byline,critics_pick,date_updated,display_title,headline,link.suggested_link_text,link.type,link.url,mpaa_rating,multimedia,multimedia.height,multimedia.src,multimedia.type,multimedia.width,opening_date,publication_date,summary_short
STEPHEN HOLDEN,0,2/11/17 4:16,Labyrinth of Lies,"Review: In ‘Labyrinth of Lies,’ the Frankfurt Auschwitz Trials Break a Conspiracy of Silence",Read the New York Times Review of Labyrinth of Lies,article,http://www.nytimes.com/2015/09/30/movies/review-in-labyrinth-of-lies-the-frankfurt-auschwitz-trials-break-a-conspiracy-of-silence.html,R,,140,https://static01.nyt.com/images/2015/08/31/movies/video-labyrinth-of-lies/video-labyrinth-of-lies-mediumThreeByTwo210.jpg,mediumThreeByTwo210,210,,29/9/15,The drama follows a young German prosecutor who faces stony resistance in bringing former death-camp functionaries to trial in the 1960s.
A. O. SCOTT,1,2/11/17 4:18,The Walk,Review: ‘The Walk’ Captures High-Wire Bravado at World Trade Center,Read the New York Times Review of The Walk,article,http://www.nytimes.com/2015/09/26/movies/review-the-walk-high-wire-bravado-at-world-trade-center.html,PG,,140,https://static01.nyt.com/images/2015/09/26/arts/30THEWALK/30THEWALK-mediumThreeByTwo210.jpg,mediumThreeByTwo210,210,9/10/15,26/9/15,Robert Zemeckis restages the tightrope journey that Philippe Petit (Joseph Gordon-Levitt) took between the twin towers in 1974.
STEPHEN HOLDEN,1,2/11/17 4:18,Drunk Stoned Brilliant Dead: The Story of the National Lampoon,Review: The Good Old Tasteless Days in ‘Drunk Stoned Brilliant Dead’,Read the New York Times Review of Drunk Stoned Brilliant Dead: The Story of the National Lampoon,article,http://www.nytimes.com/2015/09/25/movies/review-the-good-old-tasteless-days-in-drunk-stoned-brilliant-dead.html,,,140,https://static01.nyt.com/images/2015/09/25/arts/25DRUNKEN/25DRUNKEN-mediumThreeByTwo210.jpg,mediumThreeByTwo210,210,25/9/15,24/9/15,"Douglas Tirola’s documentary about The National Lampoon brings back the 1970s, when “We’ll kill this dog” was an acceptable magazine cover line."
A. O. SCOTT,1,2/11/17 4:16,Mississippi Grind,Review: ‘Mississippi Grind’ Keeps Its Cards Close,Read the New York Times Review of Mississippi Grind,article,http://www.nytimes.com/2015/09/25/movies/review-mississippi-grind-keeps-its-cards-close.html,R,,140,https://static01.nyt.com/images/2015/09/25/arts/25MISSGRIND/25MISSGRIND-mediumThreeByTwo210.jpg,mediumThreeByTwo210,210,,24/9/15,"Ryan Reynolds and Ben Mendelsohn star in this gambling movie from Anna Boden and Ryan Fleck, who refuse to chain themselves to the machinery of plot."
NEIL GENZLINGER,1,2/11/17 4:18,Mission to Lars,Review: ‘Mission to Lars’ Follows Siblings’ Quest to Fulfill Their Disabled Brother’s Dream,Read the New York Times Review of Mission to Lars,article,http://www.nytimes.com/2015/09/25/movies/review-mission-to-lars-follows-siblings-quest-to-fulfill-their-disabled-brothers-dream.html,,,140,https://static01.nyt.com/images/2015/09/25/arts/25MISSION/25MISSION-mediumThreeByTwo210.jpg,mediumThreeByTwo210,210,25/9/15,24/9/15,"This documentary focuses on a man with fragile X syndrome whose lifelong wish has been to meet Lars Ulrich, the drummer for Metallica."
JEANNETTE CATSOULIS,1,2/11/17 4:18,Finders Keepers,Review: ‘Finders Keepers’ Finds Humor and Humanity in the Bizarre,Read the New York Times Review of Finders Keepers,article,http://www.nytimes.com/2015/09/25/movies/review-finders-keepers-finds-humor-and-humanity-in-the-bizarre.html,R,,140,https://static01.nyt.com/images/2015/09/25/arts/25FINDERS/25FINDERS-mediumThreeByTwo210.jpg,mediumThreeByTwo210,210,25/9/15,24/9/15,This custody battle between an amputee and the man who unwittingly bought his leg is as authentic as the North Carolina vernacular in which it unfolds.
A. O. SCOTT,1,2/11/17 4:18,99 Homes,"In ‘99 Homes,’ a Man Buffeted and Then Manipulated in Florida’s Foreclosure Disaster",Read the New York Times Review of 99 Homes,article,http://www.nytimes.com/2015/09/25/movies/in-99-homes-a-man-buffeted-and-then-manipulated-in-floridas-foreclosure-disaster.html,R,,140,https://static01.nyt.com/images/2015/09/25/arts/25NINETYNINEJP3/25NINETYNINEJP3-mediumThreeByTwo210-v2.jpg,mediumThreeByTwo210,210,9/10/15,24/9/15,Ramin Bahrani’s tale is on one level a fable about how impersonal economic forces shape individual destinies.
DANIEL M. GOLD,0,2/11/17 4:18,Wildlike,Review: ‘Wildlike’ Pits a Teenage Girl Against the Alaskan Wilderness,Read the New York Times Review of Wildlike,article,http://www.nytimes.com/2015/09/25/movies/review-wildlike-pits-a-teenage-girl-against-the-alaskan-wilderness.html,,,140,https://static01.nyt.com/images/2015/09/25/arts/25WILDLIKE/25WILDLIKE-mediumThreeByTwo210.jpg,mediumThreeByTwo210,210,25/9/15,24/9/15,"Frank Hall Green’s film stars Ella Purnell as a 14-year-old escaping a sexually abusive uncle, and Bruce Greenwood as a backpacker who helps."
MANOHLA DARGIS,0,2/11/17 4:18,The Intern,"Review: In ‘The Intern,’ She’s the Boss, but He’s the Star",Read the New York Times Review of The Intern,article,http://www.nytimes.com/2015/09/25/movies/review-the-intern-proves-experience-doesnt-have-to-start-at-the-top.html,PG-13,,140,https://static01.nyt.com/images/2015/09/25/arts/25INTERNALT/25INTERNALT-mediumThreeByTwo210.jpg,mediumThreeByTwo210,210,25/9/15,24/9/15,"Robert De Niro plays Ben, a gentle father figure who comes equipped with a laundered handkerchief, in Nancy Meyers’s latest film."
HELEN T. VERONGOS,0,2/11/17 4:16,Lost In Hong Kong,"Review: ‘Lost in Hong Kong’ Is Part Music Video, Part Buddy Film",Read the New York Times Review of Lost In Hong Kong,article,http://www.nytimes.com/2015/09/25/movies/review-lost-in-hong-kong-is-part-music-video-part-buddy-film.html,,,140,https://static01.nyt.com/images/2015/09/25/arts/25LOST/25LOST-mediumThreeByTwo210-v3.jpg,mediumThreeByTwo210,210,,24/9/15,Xu Zheng directs and stars in this comedy about a former art student who seeks to shed his brother-in-law so he can reunite with a woman from his past.
